; Generated by Rgadget 0.5
; -- data --
; year	step	area	fleetname	number
2013	2	1	predict.comm	1
2013	3	1	predict.comm	1
2013	4	1	predict.comm	1
2014	1	1	predict.comm	1
2014	2	1	predict.comm	1
2014	3	1	predict.comm	1
2014	4	1	predict.comm	1
2015	1	1	predict.comm	1
2015	2	1	predict.comm	1
2015	3	1	predict.comm	1
2015	4	1	predict.comm	1
2016	1	1	predict.comm	1
2016	2	1	predict.comm	1
2016	3	1	predict.comm	1
2016	4	1	predict.comm	1
2017	1	1	predict.comm	1
2017	2	1	predict.comm	1
2017	3	1	predict.comm	1
2017	4	1	predict.comm	1
2018	1	1	predict.comm	1
2018	2	1	predict.comm	1
2018	3	1	predict.comm	1
2018	4	1	predict.comm	1
2019	1	1	predict.comm	1
2019	2	1	predict.comm	1
2019	3	1	predict.comm	1
2019	4	1	predict.comm	1
2020	1	1	predict.comm	1
2020	2	1	predict.comm	1
2020	3	1	predict.comm	1
2020	4	1	predict.comm	1
2021	1	1	predict.comm	1
2021	2	1	predict.comm	1
2021	3	1	predict.comm	1
2021	4	1	predict.comm	1
2022	1	1	predict.comm	1
2022	2	1	predict.comm	1
2022	3	1	predict.comm	1
2022	4	1	predict.comm	1
2023	1	1	predict.comm	1
2023	2	1	predict.comm	1
2023	3	1	predict.comm	1
2023	4	1	predict.comm	1
2024	1	1	predict.comm	1
2024	2	1	predict.comm	1
2024	3	1	predict.comm	1
2024	4	1	predict.comm	1
2025	1	1	predict.comm	1
2025	2	1	predict.comm	1
2025	3	1	predict.comm	1
2025	4	1	predict.comm	1
2026	1	1	predict.comm	1
2026	2	1	predict.comm	1
2026	3	1	predict.comm	1
2026	4	1	predict.comm	1
2027	1	1	predict.comm	1
2027	2	1	predict.comm	1
2027	3	1	predict.comm	1
2027	4	1	predict.comm	1
2028	1	1	predict.comm	1
2028	2	1	predict.comm	1
2028	3	1	predict.comm	1
2028	4	1	predict.comm	1
2029	1	1	predict.comm	1
2029	2	1	predict.comm	1
2029	3	1	predict.comm	1
2029	4	1	predict.comm	1
2030	1	1	predict.comm	1
2030	2	1	predict.comm	1
2030	3	1	predict.comm	1
2030	4	1	predict.comm	1
2031	1	1	predict.comm	1
2031	2	1	predict.comm	1
2031	3	1	predict.comm	1
2031	4	1	predict.comm	1
2032	1	1	predict.comm	1
2032	2	1	predict.comm	1
2032	3	1	predict.comm	1
2032	4	1	predict.comm	1
2033	1	1	predict.comm	1
2033	2	1	predict.comm	1
2033	3	1	predict.comm	1
2033	4	1	predict.comm	1
2034	1	1	predict.comm	1
2034	2	1	predict.comm	1
2034	3	1	predict.comm	1
2034	4	1	predict.comm	1
2035	1	1	predict.comm	1
2035	2	1	predict.comm	1
2035	3	1	predict.comm	1
2035	4	1	predict.comm	1
2036	1	1	predict.comm	1
2036	2	1	predict.comm	1
2036	3	1	predict.comm	1
2036	4	1	predict.comm	1
2037	1	1	predict.comm	1
2037	2	1	predict.comm	1
2037	3	1	predict.comm	1
2037	4	1	predict.comm	1
2038	1	1	predict.comm	1
2038	2	1	predict.comm	1
2038	3	1	predict.comm	1
2038	4	1	predict.comm	1
2039	1	1	predict.comm	1
2039	2	1	predict.comm	1
2039	3	1	predict.comm	1
2039	4	1	predict.comm	1
2040	1	1	predict.comm	1
2040	2	1	predict.comm	1
2040	3	1	predict.comm	1
2040	4	1	predict.comm	1
2041	1	1	predict.comm	1
2041	2	1	predict.comm	1
2041	3	1	predict.comm	1
2041	4	1	predict.comm	1
2042	1	1	predict.comm	1
2042	2	1	predict.comm	1
2042	3	1	predict.comm	1
2042	4	1	predict.comm	1
2043	1	1	predict.comm	1
2043	2	1	predict.comm	1
2043	3	1	predict.comm	1
2043	4	1	predict.comm	1
2044	1	1	predict.comm	1
2044	2	1	predict.comm	1
2044	3	1	predict.comm	1
2044	4	1	predict.comm	1
2045	1	1	predict.comm	1
2045	2	1	predict.comm	1
2045	3	1	predict.comm	1
2045	4	1	predict.comm	1
2046	1	1	predict.comm	1
2046	2	1	predict.comm	1
2046	3	1	predict.comm	1
2046	4	1	predict.comm	1
2047	1	1	predict.comm	1
